ID,Ana Kategori,Konu,Önerilen URL,Physical HTML
1,Tüp Mide / Sleeve Gastrektomi,Tüp mide ameliyatı nedir?,blog/tupe-mide-ameliyati-nedir.html,tupe-mide-ameliyati-nedir.html
2,Tüp Mide / Sleeve Gastrektomi,Tüp mide ameliyatı nasıl yapılır?,blog/mide-kucultme-ameliyati-nasil-yapilir.html,mide-kucultme-ameliyati-nasil-yapilir.html
3,Tüp Mide / Sleeve Gastrektomi,Tüp mide ameliyatı kimlere uygulanır?,blog/tup-mide-ameliyati-kimlere-uygulanir.html,tup-mide-ameliyati-kimlere-uygulanir.html
4,Tüp Mide / Sleeve Gastrektomi,Tüp mide ameliyatı öncesi değerlendirme,blog/tup-mide-ameliyati-oncesi-degerlendirme.html,tup-mide-ameliyati-oncesi-degerlendirme.html
5,Tüp Mide / Sleeve Gastrektomi,Tüp mide ameliyatı öncesi hazırlık,blog/tup-mide-ameliyati-oncesi-hazirlik.html,tup-mide-ameliyati-oncesi-hazirlik.html
6,Tüp Mide / Sleeve Gastrektomi,Tüp mide ameliyatı sonrası ilk gün,blog/tup-mide-ameliyati-sonrasi-ilk-gun.html,tup-mide-ameliyati-sonrasi-ilk-gun.html
7,Tüp Mide / Sleeve Gastrektomi,Tüp mide ameliyatı sonrası ilk hafta,blog/tup-mide-ameliyati-sonrasi-ilk-hafta.html,tup-mide-ameliyati-sonrasi-ilk-hafta.html
8,Tüp Mide / Sleeve Gastrektomi,Tüp mide ameliyatı sonrası ilk ay,blog/tup-mide-ameliyati-sonrasi-ilk-ay.html,tup-mide-ameliyati-sonrasi-ilk-ay.html
9,Tüp Mide / Sleeve Gastrektomi,Tüp mide ameliyatı sonrası üçüncü ay,blog/tup-mide-ameliyati-sonrasi-ucuncu-ay.html,tup-mide-ameliyati-sonrasi-ucuncu-ay.html
10,Tüp Mide / Sleeve Gastrektomi,Tüp mide ameliyatı sonrası altıncı ay,blog/tup-mide-ameliyati-sonrasi-altinci-ay.html,tup-mide-ameliyati-sonrasi-altinci-ay.html
